Ref_ID,Simulation_Voc,Simulation_Jsc,Simulation_PCE,Simulation_FF
20,1.02199,28.62159,20.28508,0.6934836
22,1.018846,32.78008,25.38835,0.7601793
23,1.018846,32.78008,25.38835,0.7601793
24,1.018846,32.78008,25.38835,0.7601793
25,1.018846,32.78008,25.38835,0.7601793
26,1.018846,32.78008,25.38835,0.7601793
27,1.018846,32.78008,25.38835,0.7601793
72,1.021338,25.52844,18.39718,0.7055982
89,1.021665,28.310340000000004,20.1113,0.6953228
90,1.021665,28.310340000000004,20.1113,0.6953228
91,1.021665,28.310340000000004,20.1113,0.6953228
169,1.021488,28.141820000000003,20.01644,0.6963078
170,1.021488,28.141820000000003,20.01644,0.6963078
171,1.021488,28.141820000000003,20.01644,0.6963078
267,0.9851425,27.79205,20.31818,0.7421047
297,1.022387,29.00568,20.50515,0.691456
391,1.022387,29.00568,20.50515,0.691456
411,1.010764,23.66972,16.99361,0.7103011
412,1.010764,23.66972,16.99361,0.7103011
413,1.010764,23.66972,16.99361,0.7103011
414,1.010764,23.66972,16.99361,0.7103011
415,1.010764,23.66972,16.99361,0.7103011
475,1.008589,25.62254,20.12844,0.7788856
529,1.017452,28.55807,22.44388,0.7724229
853,1.022215,28.83835,20.40725,0.6922641
854,1.022215,28.83835,20.40725,0.6922641
855,1.022215,28.83835,20.40725,0.6922641
919,1.023095,29.67414,23.18474,0.7636742
924,1.105538,32.94883,26.79765,0.7356699
925,1.105538,32.94883,26.79765,0.7356699
926,1.105538,32.94883,26.79765,0.7356699
927,1.105538,32.94883,26.79765,0.7356699
928,1.105538,32.94883,26.79765,0.7356699
929,1.105538,32.94883,26.79765,0.7356699
930,1.105538,32.94883,26.79765,0.7356699
931,1.105538,32.94883,26.79765,0.7356699
932,1.105538,32.94883,26.79765,0.7356699
946,1.006824,25.93206,20.30379,0.7776544
949,1.006824,25.93206,20.30379,0.7776544
950,1.006824,25.93206,20.30379,0.7776544
951,1.006824,25.93206,20.30379,0.7776544
952,1.006824,25.93206,20.30379,0.7776544
1145,1.022215,28.83835,20.40725,0.6922641
1147,1.022215,28.83835,20.40725,0.6922641
1148,1.022215,28.83835,20.40725,0.6922641
1149,1.022215,28.83835,20.40725,0.6922641
1150,1.022215,28.83835,20.40725,0.6922641
1152,1.022215,28.83835,20.40725,0.6922641
1153,1.022215,28.83835,20.40725,0.6922641
1166,1.011232,26.61865,18.81013,0.6988038
1241,0.994064,27.57193,21.07016,0.7687522
1242,0.994064,27.57193,21.07016,0.7687522
1352,1.02199,28.62159,20.28508,0.6934836
1354,1.02199,28.62159,20.28508,0.6934836
1356,1.021488,28.141820000000003,20.01644,0.6963078
1360,1.021488,28.141820000000003,20.01644,0.6963078
1362,1.021488,28.141820000000003,20.01644,0.6963078
1363,1.021488,28.141820000000003,20.01644,0.6963078
1365,1.021488,28.141820000000003,20.01644,0.6963078
1507,1.022514,29.12998,20.57748,0.6908486
1597,1.022215,28.83835,20.40725,0.6922641
1612,0.9747924,26.54785,17.79488,0.6876279
1613,1.035189,20.57472,11.29739,0.5304258
1614,1.030813,12.7328,7.230557,0.550894
1615,0.9985827,20.2799,12.78691,0.6314165
1616,1.030813,12.7328,7.230557,0.550894
1821,1.022383,32.83186,26.23864,0.781686
1822,1.022383,32.83186,26.23864,0.781686
2024,1.021665,28.310340000000004,20.1113,0.6953228
2025,1.021665,28.310340000000004,20.1113,0.6953228
2026,1.021665,28.310340000000004,20.1113,0.6953228
2027,1.021665,28.310340000000004,20.1113,0.6953228
2028,1.021665,28.310340000000004,20.1113,0.6953228
2029,1.021665,28.310340000000004,20.1113,0.6953228
2030,1.021665,28.310340000000004,20.1113,0.6953228
2031,1.021665,28.310340000000004,20.1113,0.6953228
2032,1.021665,28.310340000000004,20.1113,0.6953228
2039,1.025414,32.257130000000004,25.07478,0.7580754
2078,1.030334,31.50027,22.55789,0.6950344
2085,1.000926,28.19477,21.52378,0.7626896
2086,1.000926,28.19477,21.52378,0.7626896
2087,1.000926,28.19477,21.52378,0.7626896
2099,1.011846,27.71475,21.69587,0.7736627
2103,1.011846,27.71475,21.69587,0.7736627
2115,1.026225,32.44604,26.32153,0.7905088
2699,1.029427,33.79475,27.44934,0.7890183
2757,0.9934844,30.60765,22.69145,0.7462275
2837,1.014463,28.985660000000003,20.07153,0.682592
2844,1.029427,33.79475,27.44934,0.7890183
2874,1.022387,29.00568,20.50515,0.691456
2875,1.022387,29.00568,20.50515,0.691456
2876,1.022387,29.00568,20.50515,0.691456
2877,1.022387,29.00568,20.50515,0.691456
2878,1.022387,29.00568,20.50515,0.691456
2900,1.02199,28.62159,20.28508,0.6934836
2901,1.02199,28.62159,20.28508,0.6934836
3218,1.022387,29.00568,20.50515,0.691456
3384,1.022387,29.00568,20.50515,0.691456
3385,1.022387,29.00568,20.50515,0.691456
3415,1.022387,29.00568,20.50515,0.691456
3499,1.022387,29.00568,20.50515,0.691456
3503,0.9855934,24.70003,18.09496,0.7432968
3504,0.9932603,25.81331,18.95856,0.7394325
3505,0.9930709,24.58587,18.22256,0.7463519
3506,0.9969038,24.9698,18.56413,0.7457727
3552,1.008925,25.89772,20.33582,0.7782901
3553,1.008925,25.89772,20.33582,0.7782901
3554,1.008925,25.89772,20.33582,0.7782901
3568,1.022387,29.00568,20.50515,0.691456
3655,1.022387,29.00568,20.50515,0.691456
3697,1.01356,27.12395,20.72143,0.7537328
3698,1.01356,27.12395,20.72143,0.7537328
3699,1.01356,27.12395,20.72143,0.7537328
3700,1.01356,27.12395,20.72143,0.7537328
3701,1.01356,27.12395,20.72143,0.7537328
3709,1.008514,25.56311,20.08283,0.7789858
3789,1.022215,28.83835,20.40725,0.6922641
3822,1.022387,29.00568,20.50515,0.691456
3823,1.022387,29.00568,20.50515,0.691456
3824,1.022387,29.00568,20.50515,0.691456
3825,1.022387,29.00568,20.50515,0.691456
3826,1.022387,29.00568,20.50515,0.691456
3827,1.022387,29.00568,20.50515,0.691456
3903,1.022387,29.00568,20.50515,0.691456
3953,1.000895,26.98723,20.88106,0.7730471
3955,1.000895,26.98723,20.88106,0.7730471
4012,1.022387,29.00568,20.50515,0.691456
4028,1.022387,29.00568,20.50515,0.691456
4029,1.022387,29.00568,20.50515,0.691456
4076,1.021745,25.80898,18.52689,0.7025688
4101,1.022387,29.00568,20.50515,0.691456
4102,1.022387,29.00568,20.50515,0.691456
4172,1.022387,29.00568,20.50515,0.691456
4174,1.022387,29.00568,20.50515,0.691456
4200,1.000895,26.98723,20.88106,0.7730471
4237,1.022387,29.00568,20.50515,0.691456
4239,1.022387,29.00568,20.50515,0.691456
4300,1.022387,29.00568,20.50515,0.691456
4301,1.021811,27.75099,19.76132,0.6968946
4302,1.03376,34.990030000000004,24.46365,0.6763276
4303,1.021912,24.72246,17.8669,0.707203
4304,1.020744,23.75297,17.2731,0.7124186
4305,1.021308,27.75936,19.78888,0.6979995
4306,1.022387,29.00568,20.50515,0.691456
4307,1.021811,27.75099,19.76132,0.6968946
4310,1.020744,23.75297,17.2731,0.7124186
4311,1.022215,28.83835,20.40725,0.6922641
4376,1.022387,29.00568,20.50515,0.691456
4377,1.022387,29.00568,20.50515,0.691456
4378,1.022387,29.00568,20.50515,0.691456
